category,product_id,name,price_krw,url,image
트래블-전체,MMKEATA02CO001,Aren 비세토스 멀티 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%A9%80%ED%8B%B0-%EB%B0%B1%ED%8C%A9/MMKEATA02CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMKEATA02CO001_01/aren-cognac-l?$medium$&fmt=auto&qlt=default
트래블-전체,MMKFSBG01CO001,비세토스 브랜든버그 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%B8%8C%EB%9E%9C%EB%93%A0%EB%B2%84%EA%B7%B8-%EB%B0%B1%ED%8C%A9/MMKFSBG01CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMKFSBG01CO001_01/-cognac-m?$medium$&fmt=auto&qlt=default
트래블-전체,MMKFSVE05CO001,비세토스 스타크 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%A4%ED%83%80%ED%81%AC-%EB%B0%B1%ED%8C%A9/MMKFSVE05CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE05CO001_01/-cognac-m?$medium$&fmt=auto&qlt=default
트래블-전체,MMVFSTT04VC001,Ottomar 맥시 모노그램 레더 위켄더 백,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%A7%A5%EC%8B%9C-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%A0%88%EB%8D%94-%EC%9C%84%EC%BC%84%EB%8D%94-%EB%B0%B1/MMVFSTT04VC001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVFSTT04VC001_01/ottomar-navy-blazer-41cm-16-14-?$medium$&fmt=auto&qlt=default
트래블-전체,MMKDAVE02VC001,Stark 맥시 모노그램 레더 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/stark-%EB%A7%A5%EC%8B%9C-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%A0%88%EB%8D%94-%EB%B0%B1%ED%8C%A9/MMKDAVE02VC001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMKDAVE02VC001_01/stark-navy-blazer-m?$medium$&fmt=auto&qlt=default
트래블-전체,MMVGSTT03BK001,Ottomar 비세토스 가먼트 백,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EA%B0%80%EB%A8%BC%ED%8A%B8-%EB%B0%B1/MMVGSTT03BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVGSTT03BK001_01/ottomar-black-m?$medium$&fmt=auto&qlt=default
트래블-전체,MXZESTT03BK001,Ottomar 비세토스 트래블 케이스,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%8A%B8%EB%9E%98%EB%B8%94-%EC%BC%80%EC%9D%B4%EC%8A%A4/MXZESTT03BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXZESTT03BK001_01/ottomar-black-m?$medium$&fmt=auto&qlt=default
트래블-전체,MXZESTT02BK001,Ottomar 비세토스 트래블 케이스,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%8A%B8%EB%9E%98%EB%B8%94-%EC%BC%80%EC%9D%B4%EC%8A%A4/MXZESTT02BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXZESTT02BK001_01/ottomar-black-s?$medium$&fmt=auto&qlt=default
트래블-전체,MMVGATT01CO001,Ottomar 비세토스 위켄더,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%9C%84%EC%BC%84%EB%8D%94/MMVGATT01CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVGATT01CO001_01/ottomar-cognac-41cm-16-14-?$medium$&fmt=auto&qlt=default
트래블-전체,MXZESTT03CO001,Ottomar 비세토스 트래블 케이스,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%8A%B8%EB%9E%98%EB%B8%94-%EC%BC%80%EC%9D%B4%EC%8A%A4/MXZESTT03CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MXZESTT03CO001_01/ottomar-cognac-m?$medium$&fmt=auto&qlt=default
